,job_title,short_desc,skills,predicted_job_title
41,0,"job description
a&w glenlyong are hiring two part time chefs!
","job,description,a,w,glenlyong,hiring,two,part,time,chefs!,we,looking,late,night,part,time,chef,available,saturday,sunday,must,(16,hours),late,night,part,time,cashier,available,sunday,thursday,(16,hours),at,a,w,committed,providing,outstanding,guest,experience,creating,unique,uplifting,environment,guest,staff,we,looking,individual,help,u,achieve,goal,top,tier,employer,best,quick,service,restaurant,canada!,we,offer,competitive,wage,continuous,opportunity,growth,increase,meal,benefit,shift,food,discount,team,member,family,unlimited,drink,per,shift,benefit,looking,strive,provide,great,guest,experience,put,guest,first,self-driven,hard,working,team,oriented,strong,communication,interpersonal,skill,quick,learner,flexible,hour,ability,work,pressure,multi-task,individual,following,asset,mandatory,food,safe,certificate,(immediate,premium,raise,increase,it!),*,reliable,transportation,car,apply,indeed,posting,please,drop,resume,visit,location,due,covid,procedure,interview,process,conducted,non,physical,contact,avenue,phone,zoom,interview,**please,supply,resume,availability,within,application**,part-time,hour,per,week,job,type,part-time,permanent,salary,from,per,hour,part-time,hour,per,week,job,type,part-time,permanent,salary,from,per,hour,job,type,part-time,permanent,salary,from,per,hour,benefit,discounted,free,food,on-site,parking,paid,time,store,discount,schedule,hour,shift,holiday,monday,friday,weekend,work,remotely,no,covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,plastic,shield,work,station,social,distancing,guideline,place,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",0
42,0,"looking to hire for head chef position at popular delta pub "" ladner landing"".

","looking,hire,head,chef,position,popular,delta,pub,"",ladner,landing"",the,head,chef,roll,full-time,position,responsible,daily,operation,cooking,leading,line,maintaining,kitchen,cleanliness,menu,development,we,looking,someone,passion,ingredient,driven,modern,pub,cuisine,prior,kitchen,management,experience,strong,understanding,hospitality,industry,wage,commensurate,based,experience,if,description,fit,please,apply,eightsix,profile,(with,resume,attached),86network,com,day,ago,report,job",0
43,chef de cuisine,"collective arts brewing is looking for a chef de cuisine who will help lead our newly developed urban brewery kitchen. we are looking for an individual who is creative, loves to lead a team and is passionate about everything food and beverage.","collective,art,brewing,looking,chef,de,cuisine,help,lead,newly,developed,urban,brewery,kitchen,we,looking,individual,creative,love,lead,team,passionate,everything,food,beverage,this,person,responsible,kitchen,operation,including,menu,planning,provisioning,food,preparation,sanitation,this,position,lead,training,culinary,staff,kitchen,worker,engaged,preparing,cooking,food,ensure,efficient,profitable,food,service,the,position,demand,creativity,daily,basis,excellent,communication,skill,ability,maintain,highest,culinary,standard,the,chef,de,cuisine,work,well,pressure,organized,flexible,self-motivated,our,menu,mix,fun,tasty,comforting,food,drawing,inspiration,latin,southern,bbq,we,looking,team,member,driven,desire,learn,grow,love,hard,work,passion,food,food,culture,collective,art,grassroots,brewery,founded,creativity,community,we,fuse,creativity,craft,beverage,inspired,talent,emerging,artist,musician,around,world,a,collective,art,grows,role,responsibility,team,member,we,look,new,hire,match,culture,creativity,flexibility,motivation,when,hire,collective,art,brewing,hire,future,with,unlimited,career,opportunity,collective,art,invests,ensuring,team,always,challenged,constantly,learning,creatively,contributing,next,big,idea,so,energized,idea,making,real,difference,part,winning,team,want,hear,we,equal-opportunity,affirmative,action,employer,we,value,welcome,diversity,committed,creating,inclusive,environment,employee,feel,like,belong,we,provide,accommodation,support,applicant,disability,recruitment,selection,process,please,contact,u,email,require,accommodation,participate,process,-,career,collectiveartsbrewing,com,a,typical,day,chef,de,cuisine,includes,being,responsible,daily,operation,high-volume,kitchen,estimating,planning,food,sourcing,requirement,well,estimate,budget,food,labor,cost,working,alongside,culinary,director,team,developing,recipe,portion,specification,accordance,consumer,taste,nutritional,need,product,specification,ease,preparation,budgetary,constraint,leading,menu,planning,activity,include,determination,purchasing,specification,product,recipe,testing,menu,development,managing,inventory,level,throughout,kitchen,managing,budget,fiscally,responsible,manner,providing,support,develop,train,maintain,professional,workforce,conducting,recruitment,selection,training,development,initiative,well,scheduling,performance,management,employee,coaching,evaluating,product,assure,quality,price,related,good,consistently,met,ensuring,high,quality,plate,taste,design,served,complying,federal,local,health,sanitation,regulation,company,department,sanitation,policy,we’re,looking,candidate,year,cooking,experience,year,hands-on,manager,experience,strong,leadership,management,coaching,skill,a,bachelor,degree,major,concentration,food,preparation,management,nutrition,related,field,asset,the,ability,effectively,communicate,motivate,interact,level,within,organization,experience,recruiting,selecting,onboarding,considered,asset,performance,management,experience,preferred,high,level,knowledge,food,catering,trend,focus,quality,production,sanitation,food,cost,control,presentation,experience,development,implementation,service,standard,platform,customized,implemented,“best,class”,quality,level,a,strong,understanding,craft,beer,industry,willingness,learn,industry,quickly,considered,asset,the,ability,effectively,multitask,manage,multiple,project,day,ago,report,job",chef de cuisine
44,head chef,"we are excited to be adding another location to the finley's downtown location, sage our fine dining and now our third location finley's on richards. we are seeking all front house and culinary team.","we,excited,adding,another,location,finley,downtown,location,sage,fine,dining,third,location,finley,richards,we,seeking,front,house,culinary,team,we,red,seal,apprenticeship,program,wage,salary,dependent,skill,credential,experience,we,business,year,look,forward,working,reference,id,part-time,hour,20-40,per,week,job,type,full-time,part-time,contract,permanent,salary,from,per,year,additional,pay,bonus,pay,commission,pay,tip,benefit,dental,care,disability,insurance,discounted,free,food,extended,health,care,flexible,schedule,life,insurance,schedule,hour,shift,day,shift,holiday,monday,friday,night,shift,no,weekend,on,call,weekend,experience,culinary,year,(preferred),chef,year,(preferred),sou,chef,year,(preferred),work,remotely,no,covid-19,precaution(s),remote,interview,process,personal,protective,equipment,provided,required,plastic,shield,work,station,social,distancing,guideline,place,virtual,meeting,sanitizing,disinfecting,cleaning,procedure,place,day,ago,report,job",head chef
90,web developer co,"web developer intern/co-op student
term: may to august 2021
","web,developer,intern,co-op,student,term,may,august,e-one,moli,energy,(canada),limited,innovative,leader,development,rechargeable,lithium-ion,battery,our,r,d,facility,located,maple,ridge,b,c,employee,consisting,scientist,engineer,technologist,sale,administration,we,proud,40+,year,vancouver,area,continually,strive,world,leader,material,research,battery,development,along,working,closely,colleague,manufacturing,headquarters,taiwan,under,tradename,molicel®,rechargeable,lithium-ion,battery,powering,wide,variety,application,throughout,world,–,electric,vehicle,power,tool,medical,equipment,energy,storage,system,–,name,working,battery,exciting,interesting,always,offer,something,new!,we,new,opening,it,department,intern,co-op,student,temporary,full-time,web,developer,intern,co-op,student,what’s,project-driven,experience,you,lead,develop,framework,new,project,collaborative,work,environment,engineering,it,finance,logistic,team,gain,valuable,insight,working,world-leading,research,development,team,clean,energy,sector,the,role,analyze,existing,erp,system,develop,web,application,export,display,data,work,stakeholder,group,gather,web,application,requirement,determine,best,practice,create,report,existing,database,test,application,workflow,log,issue,prepare,technical,document,functional,specification,skill,required,knowledge,web,technology,(html5,css3,javascript,jquery),experience,writing,server-side,programming,language,in-depth,knowledge,c,asp,net,python,django,platform,exposure,application,tool,web,development,maintenance,support,enterprise,application,hands-on,experience,rdbms,experience,sql,server,asset,strong,understanding,computer,science,fundamental,algorithm,database,model,data,structure,design,pattern,have,keen,attention,detail,ability,analytically,think,solve,problem,enjoy,working,supportive,collaborate,team,environment,our,company,long-standing,supporter,co-op,program,throughout,canada,we,committed,providing,one,best,learning,environment,student,come,work,u,the,position,full-time,temporary,hour,week,monday,friday,required,work,on-site,the,company,strict,covid-,protocol,place,ensure,health,safety,employee,e-one,moli,energy,(canada),limited,value,diversity,workplace,committed,employment,equity,to,apply,position,send,resume,cover,letter,via,email,career,molienergy,com,e-one,moli,energy,(canada),limited,stewart,crescent,maple,ridge,bc,v2x,9e7,day,ago,report,job",web developer co
91,sap ixp intern,"requisition id: 279861
work area: software-design and development
","requisition,id,work,area,software-design,development,expected,travel,-,career,status,student,employment,type,intern,company,description,sap,started,team,five,colleague,desire,something,new,together,changed,enterprise,software,reinvented,business,done,today,market,leader,enterprise,application,software,remain,true,root,that’s,engineer,solution,fuel,innovation,foster,equality,spread,opportunity,employee,customer,across,border,culture,sap,value,entrepreneurial,spirit,fostering,creativity,building,lasting,relationship,employee,we,know,diverse,inclusive,workforce,keep,u,competitive,provides,opportunity,we,believe,together,transform,industry,grow,economics,lift,society,sustain,environment,because,it’s,best-run,business,make,world,run,better,improve,people’s,life,what,sap,ixp,sap’s,internship,experience,project,(ixp),sap’s,global,paid,internship,program,provides,university,student,opportunity,find,purpose,career,three,reason,apply,sap,ixp,culture,collaboration,meet,mentor,make,new,friend,across,globe,create,thriving,personal,network,project-driven,experience,gain,cross-functional,skill,virtual,in-person,learning,session,diverse,subject,matter,expert,project,deliverable,gain,visibility,with,ixp,title,you’ll,global,network,sap,leader,entrepreneur,career,development,opportunity,fingertip,what,you’ll,position,title,sap,ixp,intern,-,junior,software,developer,location,vancouver,bc,expected,start,date,end,date,may,-,decmber,the,global,technology,legal,compliance,team,(gtlc),ensures,sap,technology,product,comply,license,obligation,requirement,intellectual,property,law,regulation,perspective,the,team,implement,manages,set,solution,support,process,automation,legal,compliance,service,development,community,stakeholder,sap,the,sap,ixp,intern,–,junior,software,developer,work,within,development,team,gtlc,team,prior,legal,compliance,knowledge,required,position,a,member,gtlc,self-starter,work,dynamic,environment,maintain,automation,solution,serving,critical,corner,stone,sap,legal,compliance,solution,the,successful,candidate,opportunity,work,talented,engineer,build,solution,leveraging,latest,web,development,technology,the,successful,candidate,position,team,player,posse,excellent,communication,skill,demonstrates,strong,understanding,software,development,practice,in,role,you’ll,develop,maintain,existing,in-house,automation,landscape,test,case,development,existing,new,feature,develop,full,stack,backend,storage,business,logic,javascript-based,ui,coordinate,testing,integration,documentation,solution,provide,operational,support,new,technology,investigation,who,we’re,looking,someone,challenge,status,quo,like,stay,curious,you,enjoy,working,meaningful,project,energized,lifelong,learning,working,experience,java,oop,must,working,knowledge,web,framework,preferably,grail,spring,must,working,knowledge,least,one,javascript,framework,preferably,angular,must,working,knowledge,data,structure,algorithm,web,development,rest,service,database,design,working,knowledge,testing,framework,knowledge,linux,operating,system,knowledge,scripting,language,e,bash,python,perl,asset,knowledge,large,platform,infrastructure,software,(e,g,docker,openstack,cloudfoundry,etc,),would,definite,asset,knowledge,ci,cd,framework,e,jenkins,asset,ability,meet,aggressive,deadline,quickly,understand,existing,framework,business,requirement,strong,problem-solving,skill,ability,prioritize,work,multiple,task,excellent,team,player,good,interpersonal,skill,strong,verbal,written,communication,skill,candidate,currently,enrolled,bachelor,master,degree,program,applicable,position,(computer,science,computer,engineering,equivalent,proven,experience),candidate,subject,relevant,education,work,experience,may,considered,at,least,4-month,previous,coop,term,experience,software,testing,development,required,can,commit,month,full-time,internship,ixp,what,you,get,from,u,success,make,at,sap,help,make,a,career,sap,open,many,door,if,you’re,searching,company,that’s,dedicated,idea,individual,growth,recognizes,unique,contribution,fill,strong,sense,purpose,provides,fun,flexible,inclusive,work,environment,–,apply,sap,s,diversity,commitment,to,harness,power,innovation,sap,invests,development,diverse,employee,we,aspire,leverage,quality,appreciate,unique,competency,person,brings,company,sap,committed,principle,equal,employment,opportunity,providing,reasonable,accommodation,applicant,physical,mental,disability,if,need,accommodation,special,assistance,navigate,website,complete,application,please,send,e-mail,request,recruiting,operation,team,(americas,career,northamerica,sap,com,career,latinamerica,sap,com,apj,career,apj,sap,com,emea,career,sap,com),successful,candidate,might,required,undergo,background,verification,external,vendor,today,report,job",sap ixp intern
92,software developer,"software developer: location: abbotsford, bc
we're growing - join us!
","software,developer,location,abbotsford,bc,we,growing,-,join,us!,at,speedline,you’ll,work,experienced,dedicated,fun,people,create,support,innovative,point,sale,(pos),software,product,help,restaurant,operator,chain,executive,across,north,america,succeed,we,growing,quickly,looking,talented,people,join,u,providing,current,next,generation,po,solution,(built,latest,cloud,technologies),restaurant,company,use,deliver,million,pizza,every,week,position,overview,to,help,achieve,personal,professional,goal,speedline,developer,offer,flexibility,work,locally,fraser,valley,office,remotely,home,combination,in-office,remote,within,bc,our,expanding,development,team,seeking,outstanding,software,developer,help,tackle,exciting,technical,opportunity,ahead,you,key,part,flexible,team,developing,cloud,platform,highly,collaborative,environment,you,able,fully,utilize,algorithm,data,structure,knowledge,experience,continuously,we,constantly,experimenting,technology,heavily,engaged,development,using,amazon,aws,service,node,j,typescript,some,key,responsibility,application,infrastructure,design,concept,development,implementation,data,modeling,business,logic,distributed,processing,service,messaging,system,insight,data,diagnostics,beyond,design,implement,critical,cloud-enabled,front-ends,service,library,build,front-ends,server,system,leverage,amazon,aws,platform,offering,evangelize,best,practice,cloud,computing,end-to-end,architecture,help,build,growing,development,knowledge,base,support,continuous,integration,environment,automated,testing,who,you,are,proactive,self-starter,passionate,solving,complex,challenge,experienced,modern,programming,language,having,great,communication,skill,verbal,written,an,open,mind,always,learning,asking,question,capable,managing,time,who,we,are,we,leading,tech,employer,fraser,valley,since,top,tech,company,british,columbia,pride,ensuring,work,life,balance,personal,growth,employee,the,world,market,pizza,billion,year,restaurant,delivery,growing,consistently,pizza,explosively,restaurant,industry,whole,that,great,news,speedline,local,team,develops,market,support,leading,point,sale,solution,large,technology-hungry,industry,we,delivered,software,solution,thousand,pizza,quick,service,multi-concept,restaurant,chain,we,deliver,product,service,make,customer,successful,that’s,mission,work,hard,achieve,we,work,full,busy,day,outrageous,long,hour,dna,we,believe,work,life,balance,live,good,freeway,access,mean,head,office,easy,commute,anywhere,fraser,valley,it’s,lot,easier,life,don’t,spend,time,car,our,counterpart,u,subsidiary,spend,much,time,site,customers’,restaurant,location,offices—but,work,home,base,minute,away,headquarters,a,great,product,reputation,attracts,strong,talent,all,add,attractive,place,work—and,experienced,tenured,team,benefit,extended,health,dental,vision,care,well,travel,life,insurance,annual,salary,performance,review,regular,one-on-one,coaching,session,career,development,comprehensive,training,tuition,reimbursement,ongoing,refresher,training,associate,program,support,professional,growth,career,path,long-term,success,company,support,employee,wellness,fun,giving,back,health,wellness,green,giving,committee,event,initiative,regular,onsite,offsite,staff,social,event,throughout,year,hosted,social,committee,comfortable,business,casual,dress,customize,work,space,employee,peer,formal,recognition,program,monthly,staff,breakfast,lunch,event,an,experienced,team,80+,employee,averaging,6+,year,speedline,employment,experience,end,year,holiday,party,dinner,prize,amenity,free,parking,free,employee,wi-fi,game,room,ping,pong,dart,foosball,rod-hockey,including,tournament,multiple,kitchenette,convenient,department,free,coffee,tea,hot,chocolate,spacious,main,lunch,room,fully,functioning,kitchen,(don’t,bring,lunch,make,fresh),balcony,enjoy,coffee,lunch,outdoors,comfy,relaxing,lounge,big,screen,tv,nearby,shopping,restaurant,to,apply,clearly,outlining,relevant,experience,please,include,using,pdf,format,resume,cover,letter,subject,line,""software,developer,-,your,name"",new,graduate,please,include,transcript!,no,telephone,inquiry,please,must,eligible,work,canada,we,would,like,thank,candidate,advance,interest,only,considered,interview,contacted,to,obtain,information,view,“working,speedline”,video,visit,website,www,speedlinesolutions,com,career,job,type,full-time,permanent,salary,00-,per,year,schedule,hour,shift,covid-19,consideration,speedline,solution,care,health,wellness,current,potential,employee,we,taken,necessary,step,ensure,workplace,clean,sanitized,policy,place,help,team,remain,safe,experience,computer,programming,year,(preferred),work,remotely,temporarily,due,covid-19,day,ago,report,job",software developer
93,software developer,"about the role

","about,role,our,customer,ferrero,oculus,rely,alloy,everything,daily,task,like,managing,regional,sale,planning,product,portfolio,to,make,possible,engineer,alloy,work,modelling,supply,chain,improving,sale,forecasting,algorithm,building,intuitive,beautiful,application,sale,marketing,planning,supply,chain,professional,the,analytics,application,working,powerful,highly,customizable,offering,comprehensive,dashboarding,what-if,scenario,analysis,well,tool,data,management,we,looking,frontend,engineer,join,u,vancouver,our,modern,analytics,application,built,typescript,react,it’s,plus,know,technology,alloy,priority,hiring,smart,empathetic,people,trust,learn,go,along,-,like,our,engineering,culture,emphasizes,code,review,mentorship,collaboration,working,reasonable,hour,-,unlike,many,startup,size,we,actively,investigate,new,technology,potential,improve,product,development,experience,the,technical,problem,solving,challenging,involve,much,building,pretty,layout,-,analytics,frontend,complex,many,rewarding,problem,solve,you,working,directly,product,manager,designer,develop,deep,understanding,customer,reviewing,spec,finding,solution,ambiguous,problem,team,you,helping,others,building,piece,ui,toolkit,supporting,others,reviewing,code,sharing,best,practice,we,looking,self-starter,plenty,opportunity,technical,people,leadership,role,well,about,you,enjoy,understanding,customer,business,need,translating,specification,code,you,experience,building,web,mobile,frontends,sharp,eye,look,feel,right,you’re,excited,using,wide,set,technology,ultimately,focused,finding,right,tool,job,you,care,deeply,best,practice,code,quality,automation,testing,you,value,open,respectful,communication,you,genuine,desire,help,engineer,via,mentorship,pairing,code,review,you,experience,excited,learning,one,following,typescript,react,redux,css3,a,plus,you,technical,leadership,experience,still,hands-on,you,experience,recruiting,interviewing,engineering,candidate,you,experience,ui,design,at,moment,offer,visa,sponsorship,position,about,alloy,alloy,modern,analytics,planning,software,solution,consumer,good,brand,we,empower,company,make,item,use,wear,consume,every,day,manage,supply,demand,speed,agility,alloy,early-stage,well-funded,leading,vcs,growing,our,small,team,belief,deeply,fostering,individual,ownership,iterative,product,development,empathetic,communication,there,many,challenging,problem,solve,industry,huge,opportunity,software,make,global,supply,chain,operate,effectively,we,encourage,people,background,apply,alloy,committed,creating,inclusive,culture,celebrate,diversity,kind,day,ago,report,job",software developer
94,developer,,"computer,science,equivalent,experience,area,specialization,network,specific,skill,write,modify,integrate,test,software,code,identify,communicate,technical,problem,process,solution,prepare,report,manual,documentation,status,operation,maintenance,software,assist,collection,documentation,user,requirement,assist,development,logical,physical,specification,maintain,existing,computer,program,making,modification,required,programming,language,mysql,javascript,jquery,computer,technology,knowledge,software,development,personal,suitability,effective,interpersonal,skill,accurate,excellent,oral,communication,excellent,written,communication,organized,analytical,canadian,job,bank,day,ago,report,job",developer
95,full stack software developer,"about radware
radware (nasdaq: rdwr) is the global leader in integrated application delivery & cyber security solutions and a dynamic company promoting a fun, family-like atmosphere. in our constantly growing and changing company, we encourage employees to realize their potential in an environment that embraces respect, consideration and communication.","about,radware,radware,(nasdaq,rdwr),global,leader,integrated,application,delivery,cyber,security,solution,dynamic,company,promoting,fun,family-like,atmosphere,in,constantly,growing,changing,company,encourage,employee,realize,potential,environment,embrace,respect,consideration,communication,radware,organization,cutting-edge,technology,award-winning,product,continue,outperform,competition,radware,equal,opportunity,employer,(eoe),www,radware,com,about,radware’s,vancouver,team,the,vancouver,team,office,located,downtown,vancouver,one,block,burrard,sky,train,station,however,pandemic,vancouver,team,work,remotely,team,member,anyway,pandemic,the,team,gem,radware,organization,made,world-class,software,developer,working,cutting-edge,technology,there,many,benefit,working,radware,vancouver,team,flexible,hour,good,compensation,benefit,package,regular,online,social,activity,good,sense,humor,cultural,diversity,about,candidate,we,looking,full-stack,software,developer,passion,modern,web,technology,distributed,application,the,candidate,willing,work,high,pressure,deadline-driven,environment,take,new,challenge,daily,basis,a,senior,developer,working,great,group,people,develop,new,feature,radware,product,line,specific,skill,looking,strong,network,skill,extensive,knowledge,tcp,ip,protocol,suite,expert,programming,skill,java,python,nodejs,backend,modern,front-end,technology,(html,cs,javascript),experience,data,modelling,building,rest,apis,experience,complex,distributed,system,architecture,experience,cloud,provider,ecosystem,experience,docker,microservices,cloud,native,technology,strong,analytical,diagnostics,skill,other,skill,consider,asset,strong,linux,command-line,skill,experience,kubernetes,working,knowledge,authentication,protocol,(oauth,openid,saml,radius,ldap,mfa),cybersecurity,experience,waf,am,technology,technique,experience,kafka,elasticsearch,prometheus,experience,database,storage,technology,website,acceleration,technique,experience,unit,testing,framework,experience,devops,technology,ci,cd,git,jenkins,bitbucket,artifactory,ability,sit,live,customer,diagnostic,session,high,pressure,contribute,problem,solving,strategy,candidate,personal,attribute,able,work,independently,across,multiple,international,team,excellent,communication,skill,strong,attention,detail,extremely,well,organized,self-managed,self-motivated,strong,work,ethic,able,work,comfortably,reliably,internationally,distributed,r,d,team,reference,id,2021-03-05,job,type,full-time,salary,from,per,year,additional,pay,bonus,pay,benefit,company,event,dental,care,disability,insurance,extended,health,care,flexible,schedule,life,insurance,paid,time,rrsp,match,stock,option,vision,care,wellness,program,work,home,schedule,monday,friday,experience,software,development,year,(required),work,remotely,yes,covid-19,precaution(s),remote,interview,process,virtual,meeting,day,ago,report,job",full stack software developer
96,summer student,"company description
we are a wearable device company that enables users to engage with their community without the fear of difficult terrain. click & push has designed a wheeled device wearable sensor, called sagitta, which attaches to the spokes of a wheelchair or bicycle.","company,description,we,wearable,device,company,enables,user,engage,community,without,fear,difficult,terrain,click,push,designed,wheeled,device,wearable,sensor,called,sagitta,attache,spoke,wheelchair,bicycle,the,sensor,collect,distance,speed,force,push,data,throughout,user’s,day,much,like,fitbit,this,information,crowdsourced,accessibility,exertion,map,called,the,atlas,help,user,route,plan,day,day,“know,go,”,user,also,option,note,barrier,feature,path,like,pothole,lack,curb,cut,construction,elevator,powered,door,button,thus,bicycling,wheelchair,community,work,synergistically,create,better,opportunity,participation,click,push,accessibility,inc,created,serve,whole,edmonton,community,helping,increase,access,public,space,it,help,make,accessing,accessibility,information,easier,encourage,full,participation,society,by,joining,team,help,u,make,world,accessible,see,website,(clicknpush,ca),social,medium,page,information,company,job,description,finish,development,click,push,webapp,the,webapp,interface,click,push,wearable,technology,collect,data,present,information,user,smartphone,it,already,undergone,significant,development,requires,work,deployment,this,prototype,drive,future,click,push,technology,start,development,prototype,mobile,app,similar,webapp,mobile,app,interface,click,push,wearable,technology,collect,data,present,information,user,it,also,interface,click,push’s,backend,server,work,independently,including,project,management,given,covid,situation,work,done,remotely,the,developer,managing,project,independently,submit,code,review,cto,group,meeting,occur,twice,weekly,collaborate,executive,team,the,app,developer,report,chief,technical,officer,(cto),president,the,cto,oversee,app,development,ensure,meet,goal,click,push,tailor,user,incorporate,user,feedback,the,app,developer,engage,in-house,user,interface,expert,feedback,focus,group,set,specification,revise,app,deployment-ready,deploy,app,deploy,app,android,io,mobile,store,open,beta,ready,document,strength,weakness,opportunity,threat,(swot),inform,future,direction,continuity,operation,the,app,developer,expected,chronicle,keep,tidy,paperwork,regarding,application,understood,developer,work,–,building,feature,plus,maintenance,improvement,–,web,mobile,apps,contract,length,month,part-time,hour,per,week,application,deadline,2021-03-31,expected,start,date,2021-05-03,job,type,part-time,internship,salary,00-,per,hour,schedule,monday,friday,covid-19,consideration,work,done,remotely,experience,full,stack,development,year,(preferred),work,remotely,yes,covid-19,precaution(s),virtual,meeting,day,ago,report,job",summer student
97,intermediate javascript developer,"what started as the result of a hackathon in 2014 is now the world’s #1 instagram marketing platform. later was built on the idea that social media management should be easy, quick, and affordable.","what,started,result,hackathon,world’s,instagram,marketing,platform,later,built,idea,social,medium,management,easy,quick,affordable,six,year,hundred,thousand,user,later,we’re,still,going,strong,we’re,looking,people,help,u,build,something,great,customers—from,content,writer,designer,developer,so,you’re,kind,person,really,care,making,something,meaningful,keep,reading,our,value,our,core,cultural,value,manifested,practice,process,every,day,we,highly,value,transparency,fairness,everything,we,look,people,like,move,quickly,ambitious,yet,humble,great,sense,humour,if,mischievous,spark,fun,that’s,even,better,about,role,at,later,take,development,seriously!,our,tech,stack,consists,core,ruby,rail,app,several,nodejs,microservices,nodejs,serverless,service,our,frontend,built,productive,javascript,framework,emberjs,strives,stability,without,stagnation,this,mean,taking,advantage,latest,web,technology,standard,deploying,confidence,multiple,time,day,all,member,founding,team,come,technical,background,ensuring,development,practice,technology,investment,thoughtful,strategic,we,team,collaborative,software,developer,want,make,real,difference,user,base,hundred,thousand,small,business,we,believe,documentation,test-driven,development,continuous,integration,one-click,deployment,meaningful,code,review,all,code,written,later,impactful,pushed,multiple,time,day,we,growing,looking,full,time,javascript,developer,join,engineering,team,in,role,responsible,developing,delivering,reliable,scalable,front,end,application,our,application,used,thousand,people,every,day,directly,impact,user,experience,interface,this,role,tailor,made,someone,strong,interest,writing,tested,idiomatic,documented,javascript,strong,understanding,user,experience,user,interface,working,closely,product,engineering,team,javascript,developer,create,document,solution,feasibility,implementation,estimation,request,the,role,requires,someone,detail,oriented,posse,excellent,time,management,skill,juggle,multiple,project,we,looking,someone,strong,technical,skill,excellent,communicator,desire,work,fast-paced,environment,ability,prioritize,work,ensure,deadline,met,technical,skill,need,significant,experience,client-side,javascript,including,es6+,html5,cs,json,significant,experience,emberjs,client-side,framework,(angular,react,vue),knowledge,api,design,event-handling,browser,modern,asynchronous,programming,experience,mocha,qunit,javascript,testing,framework,write,clean,maintainable,testable,code,a,desire,mentor,junior,developer,ability,perform,code,review,create,detailed,plan,willingness,work,collaboratively,development,team,excellent,technical,troubleshooting,analytical,skill,non-technical,requirement,associate,degree,bachelor,degree,computer,science,equivalent,work,experience,required,3+,year,development,experience,entrepreneurial,nature,excel,fast-paced,agile,environment,critical,thinking,strong,problem,solving,skill,given,tech,startup,industry,want,you,thrive,cutting,edge,get,excited,learn,push,boundary,innovate,every,day,bonus,knowledge,ruby,rail,(it’s,backend),bonus,an,avid,instagrammer,love,photo,picture,salary,range,-,cad,perk,a,generous,education,conference,budget,health,saving,plan,flexible,hour,work,schedule,technology,bonus,annual,company,retreat,vacation,sick,day,bright,spacious,modern,office,rooftop,patio,amazing,city,view,working,location,people,place,(hr),product,development,role,based,vancouver,headquarters,if,located,vancouver,interested,relocating,role,let,u,know!,whereas,role,marketing,customer,experience,team,open,remote,candidate,based,toronto,london,uk,addition,working,vancouver,headquarters,note,applying,this,best,place,submit,application,reviewed,team,later,work,recruitment,agency,fill,open,position,we,accepting,request,work,agency,day,ago,report,job",intermediate javascript developer
98,configuration software developer,"overview
we are seeking a self-motivated software developer with 1 to 3 years of experience to join our software development team. you will be working with a team of developers under the leadership of a technical team lead.","overview,we,seeking,self-motivated,software,developer,year,experience,join,software,development,team,you,working,team,developer,leadership,technical,team,lead,you,providing,variety,software,configuration,development,service,software,system,support,you,configuration-based,programming,using,salesforce,dynamic,sohema,(an,avocette,proprietary,product),this,exciting,opportunity,people,enjoy,analytical,thinking,problem,solving,database,programming,working,client,we,seeking,individual,positive,attitude,skill,match,able,self-study,self-motivated,striving,excellence,work,willing,grow,learn,dynamic,environment,ability,work,independently,within,team,responsibility,·,review,learn,existing,software,system,·,review,requirement,technical,design,document,·,configuration,based,programming,(user,interface,design,database,design,query,workflow,programming,security),·,work,directly,colleague,troubleshoot,solve,issue,·,attend,sort,meeting,provide,status,update,regularly,·,perform,migration,environment,skill,experience,·,1+,year(s),experience,software,development,·,adaptable,fast,learner,team,player,·,strong,problem-solving,troubleshooting,skill,·,effective,articulate,communicator,skill,experience,(nice,have),·,programming,experience,net,javascript,·,experience,azure,devops,jira,·,certificate,salesforce,dynamic,education,certification,·,post-secondary,equivalent,education,computer,science,if,feel,meet,requirement,please,apply,posting,directly,strictest,confidence,please,note,due,overwhelming,response,short-listed,candidate,contacted,a,part,avocette’s,selection,process,candidate,may,requested,consent,background,check,relevant,role,consideration,prior,receiving,job,offer,these,could,include,work,reference,education,credential,confirmation,employment,verification,criminal,offence,about,avocette,avocette,technology,inc,(avocette),founded,based,office,victoria,bc,new,westminster,bc,we,focus,providing,information,technology,solution,consulting,public,sector,organization,level,british,columbia,canada,united,state,we,also,provide,it,consulting,service,software,it,managed,service,non-profit,organization,healthcare,provider,regulatory,organization,private,sector,company,expected,start,date,2021-03-08,job,type,full-time,permanent,benefit,casual,dress,company,event,dental,care,disability,insurance,employee,assistance,program,extended,health,care,life,insurance,on-site,parking,paid,time,vision,care,work,home,schedule,hour,shift,monday,friday,work,remotely,temporarily,due,covid-19,day,ago,report,job",configuration software developer
